"File","Line","Match","Code"
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","28","06_PROJECT_MASTER_STATE.md","""06_PROJECT_MASTER_STATE.md"","
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","29","07_PROJECT_HANDOFF.md","""07_PROJECT_HANDOFF.md"","
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","102","PROJECT_RUNTIME.json","runtime = load(ROOT / ""PROJECT_RUNTIME.json"")"
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","287","PROJECT_RUNTIME.json","path = ROOT / ""PROJECT_RUNTIME.json"""
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","399","06_PROJECT_MASTER_STATE.md","master = ROOT / ""06_PROJECT_MASTER_STATE.md"""
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","462","07_PROJECT_HANDOFF.md","handoff = ROOT / ""07_PROJECT_HANDOFF.md"""
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","531","PROJECT_HISTORY.json","path = ROOT / ""PROJECT_HISTORY.json"""
"tools\legacy\era55a6_gemini_red_team_review_and_findings_register_v1.py","625","PROJECT_RUNTIME.json","for rel in (ARTIFACT_REL, ""PROJECT_RUNTIME.json"", ""PROJECT_HISTORY.json"", ""data/tokenoskobi_v1_v8_master_era_roadmap.json""):"
"tools\legacy\era56h_global_cache_single_cycle_canary_apply_and_postcheck_v1.py","15","PROJECT_RUNTIME.json","RUNTIME=ROOT/'PROJECT_RUNTIME.json';ROADMAP=ROOT/'data/tokenoskobi_v1_v8_master_era_roadmap.json'"
"tools\legacy\era56h_global_cache_single_cycle_canary_apply_and_postcheck_v1.py","16","06_PROJECT_MASTER_STATE.md","MASTER=ROOT/'06_PROJECT_MASTER_STATE.md';HANDOFF=ROOT/'07_PROJECT_HANDOFF.md';HISTORY=ROOT/'PROJECT_HISTORY.json';ALMANAC=ROOT/'04_ALMANAC.md'"
